|none.wav|0|Single
tentacle_appear_5|monster\tentacle\appear5.wav|1932|Single
alkor_greeting_time_2|act3\alkor\alk_goodday.wav|3529|Single
fingermage_hit_1|monster\fingermage\gethit1.wav|945|Group:4
object_bookshelf|object\towertome.wav|2542|Single
lysander_act2_q1_success|act2\lysander\lys_act2_q1_successful.wav|4139|Single
reanimatedhorde_attack_7|monster\reanimatedhorde\attack7.wav|1555|Single
necromancer_act3_find_beneath|act3\necromancer\nec_act3_find_beneathcity.wav|3152|Single
bighead_neutral_2|monster\bighead\neutral2.wav|568|Single
zakarumhigh_hit_4|monster\zakarumhighpriest\gethit4.wav|2165|Single
charsi_act1_q3_early|act1\charsi\cha_act1_q3_early.wav|3762|Single
imp_cast|monster\imp\cast3.wav|1178|Single
medium_walk_istone_4|ambient\footstep\MedIStone4.wav|2775|Single
event_town_3_night_5|ambient\event\frog5.wav|191|Single
warriv_act2_q4_early|act2\warriv\war_act2_q4_early.wav|4372|Single
skeleton_walk_3|monster\skeleton\walk3.wav|1788|Single
assassin_act3_complete_lamesen|act3\assassin\ass_act3_complete_lamesentome.wav|3385|Single
druidpod_walk1_3|monster\druidpod\podwalk13.wav|801|Single
sorceress_cast_lightning|skill\sorceress\eleccast.wav|2398|Single
hratli_greeting_time_1|act3\hratli\hra_goodmorning.wav|3995|Single
overseer_neutral_1|monster\overseer\neutral1.wav|1411|Group:5
amazon_act5_defeat_overseer|act5\amazon\ama_act5_complete_stopsiege.wav|3008|Single
monster_chargedbolt_2|none.wav|424|Single
wussie_cheer_3|act5\soldier\sol_cheer3.wav|4605|Single
vampire_death_1|monster\vampire\death1.wav|2021|Group:5
atma_greeting_time_1|act2\atma\atm_goodmorning.wav|3618|Single
goatman_death_2|monster\goatman\death2.wav|1034|Single
object_teleportpad|object\teleportationpad.wav|2631|Single
quest_tainted_sun_flash_2|quest\flash2.wav|47|Single
natalya_act3_intro|act3\natalya\nat_act3_intro.wav|4228|Single
sandmaggotbaby_hit_3|monster\sandmaggotbaby\gethit3.wav|1644|Single
paladin_act5_find_worldstone|act5\paladin\pal_act5_entry_worldstone.wav|3241|Single
catapult_hit_2|monster\catapult\gethit2.wav|657|Single
amazon_jab_4|skill\amazon\jab4.wav|2254|Single
fara_greeting_time_2|act2\fara\far_goodday.wav|3851|Single
megademon_attack_6|monster\megademon\attack6.wav|1267|Single
walk_flesh_1|ambient\footstep\flesh1.wav|2864|Group:4
weapon_2hs_large_1|combat\weapon\two hand swing large01.wav|280|Group:6
larzuk_act5_gossip_6|Act5\Larzuk\lar_act5_06.wav|4461|Single
succubus_attack_4|monster\succubus\attack4.wav|1877|Single
druid_act5_find_mountaintop|act5\druid\dru_act5_entry_mountaintop.wav|3474|Single
fallen_attack_1|monster\fallen\roar1.wav|890|Group:5
barbarian_battleorders_1|skill\barbarian\order1.wav|2487|Group:3
kashya_greeting_time_3|act1\kashya\kas_goodevening.wav|4084|Single
pygmy_hit_3|monster\pygmy\gethit3.wav|1500|Single
necromancer_chat_c_1|common\necromancer\nec_thisisforyou.wav|3097|Group:2
baboondemon_hit_5|monster\baboondemon\gethit5.wav|513|Single
music_quest_tainted|act2\taintedsunaction.wav|4694|Single
willowisp_death_2|monster\willowisp\death2.wav|2110|Single
cain_act3_q2_earlyeye|act3\cain\cain_act3_q2a_earlyeye.wav|3707|Single
greatermummy_resurrect_1|monster\greatermummy\spell1.wav|1123|Group:5
light_walk_dirt_1|ambient\footstep\LightDirt1.wav|2720|Group:4
event_kurast_night_4|ambient\event\junglebirdie15.wav|136|Single
tyrael_act4_q2_after|act4\tyreal\tyr_act4_q2_init.wav|4317|Single
serpentdemon_tail_6|monster\serpentdemon\attacktail6.wav|1733|Single
assassin_chat_b_2|common\assassin\ass_comeon.wav|3330|Single
diablo_death_schwing|monster\diablo\deathschwing.wav|746|Single
druid_meteor_explode_4|combat\explosion\explosionlarge2.wav|2343|Single
gheed_act1_q4_early_scroll|act1\gheed\ghe_act1_q4_early_scroll.wav|3940|Single
mosquito_attack_1|monster\mosquito\attack1.wav|1356|Group:5
amazon_impossible_1|common\amazon\ama_impossible.wav|2953|Group:2
impact_lightning_2|combat\impact\zap2.wav|369|Single
nihlathak_act5_intro_ass|Act5\Nihlathak\nih_act5_intro_ass.wav|4550|Single
thornhulk_death_2|monster\thornhulk\death2.wav|1966|Single
alkor_act3_q5_success|act3\alkor\alk_act3_q5_successful.wav|3563|Single
firespike_loop|none.wav|979|Single
object_fire_loop_house|object\fire5.wav|2576|Single
meshif_act2_q3_after|act2\meshif\mes_act2_q3_after.wav|4173|Single
regurgitator_hit_3|monster\regurgitator\gethit3.wav|1589|Single
paladin_chat_h_2|common\paladin\pal_run.wav|3186|Single
bloodlord_hit_2|monster\bloodlord\gethit2.wav|602|Single
zakarumzealot_neutral_1|monster\zakarumzealot\neutral1.wav|2199|Group:4
drognan_act2_intro_sor|act2\drognan\dro_act2_intro_sor.wav|3796|Single
izual_spirit_disappear|monster\izual\fadeout.wav|1212|Single
medium_run_snow_2|ambient\footstep\MedSnowRun2.wav|2809|Single
item_javelins|item\javelins.wav|225|Single
anya_act5_q3_found|Act5\Anya\any_act5_q3_found.wav|4406|Single
spider_attack_4|monster\spider\attack4.wav|1822|Single
druid_chat_h_1|common\druid\dru_retreat.wav|3419|Group:2
druidwolf_hit_3|monster\druidwolf\gethit3.wav|835|Single
sorceress_iceblast_impact_3|skill\sorceress\blastimpact3.wav|2432|Single
hratli_act3_q6_after|act3\hratli\hra_act3_q6_after.wav|4029|Single
pantherwoman_neutral_1|monster\pantherwoman\neutral1.wav|1445|Group:5
barbarian_act1_complete_tools|act1\barbarian\bar_act1_complete_toolsoftrade.wav|3042|Single
baal_attack_2|monster\baal\attack2.wav|458|Single
monster_diablo_taunt_2|act4\diablo\diablotaunt2.wav|4639|Single
vilemother_attack_5|monster\vilemother\attack5.wav|2055|Single
cain_act1_gossip_1|act1\cain\cain_act1_gossip_01.wav|3652|Single
golemfire_attack_1|monster\golemfire\attack1.wav|1068|Group:4
shrine_combatboost|object\shrine\combatboost.wav|2665|Single
event_basement_5|ambient\event\wind5.wav|81|Single
ormus_act3_gossip_8|act3\ormus\orm_act3_gossip_08.wav|4262|Single
sandmaggotmama_goo_hit_1|monster\sandmaggotmama\goohit1.wav|1678|Group:5
sorceress_act1_complete_den|act1\sorceress\sor_act1_complete_denofevil.wav|3275|Single
corrupt_neutral_5|monster\corrupt\neutral5.wav|691|Single
assassin_chargeup_ice_1|none.wav|2288|Single
geglash_greeting_time_3|act2\geglash\geg_goodevening.wav|3885|Single
minion_attack_4|monster\minion\attack4.wav|1301|Single
necromancer_hit_5|combat\player\necromancer\hard6.wav|2898|Single
weapon_bow_draw_1|combat\weapon\pull1.wav|314|Group:3
malah_greeting_time_3|Act5\Malah\mal_goodevening.wav|4495|Single
swarm_hit_4|monster\swarm\gethit4.wav|1911|Single
akara_act1_q3_after|act1\akara\aka_act1_q3_after.wav|3508|Single
fallenshaman_attack_3|monster\fallenshaman\roar3.wav|924|Single
barbarian_shout_1|skill\barbarian\shout1.wav|2521|Group:3
lysander_greeting_1|act2\lysander\lys_greetings.wav|4118|Group:2
pygmyshaman_death_4|monster\pygmyshaman\death4.wav|1534|Single
necromancer_act1_find_wilderness|act1\necromancer\nec_act1_entry_wilderness.wav|3131|Single
batdemon_death_5|monster\batdemon\death5.wav|547|Single
yeti_attack_3|monster\yeti\attack3.wav|2144|Single
charsi_greeting_inactive_3|act1\charsi\cha_whatchaneed.wav|3741|Single
hawk_wing_3|monster\hawk\flap3.wav|1157|Single
light_run_ostone_3|ambient\footstep\LightOStoneRun3.wav|2754|Single
event_tombs_4|ambient\event\thump6.wav|170|Single
warriv_act1_q4_success_scroll|act1\warriv\war_act1_q4_successful_scroll.wav|4351|Single
siegebeast_death_4|monster\siegebeast\death4.wav|1767|Single
assassin_act1_find_tristram|act1\assassin\ass_act1_find_tristram.wav|3364|Single
druidbear_hit_2|monster\druidbear\gethit09.wav|780|Single
paladin_conversion|skill\paladin\conversion.wav|2377|Single
greiz_act2_q3_early|act2\griez\gre_act2_q3_early.wav|3974|Single
mummy_death_4|monster\mummy\death4.wav|1390|Single
amazon_act2_find_tomb_decoy|act2\amazon\ama_act2_find_decoytomb.wav|2987|Single
block_arrow_3|combat\impact\block arrow3.wav|403|Single
qualkehk_act5_q1_success|Act5\Qual-Kehk\qua_act5_q1_successful.wav|4584|Single
undeadhorror_attack_4|monster\undeadhorror\attack4.wav|2000|Single
asheara_act3_q3_after|act3\asheara\ash_act3_q4_after.wav|3597|Single
frozenhorror_neutral_1|monster\frozenhorror\neutral1.wav|1013|Group:5
object_shrine_snake|object\snakewoman.wav|2610|Single
cursor_sorceress_deselect|cursor\intro\sorceress deselect.wav|26|Single
meshif_act3_q5_after_va|act3\meshif\mes_act3_q5_after_va.wav|4207|Single
sandmaggot_death_3|monster\sandmaggot\death3.wav|1623|Single
paladin_act2_find_summoner|act2\paladin\pal_act2_find_summoner.wav|3220|Single
bonefetish_death_4|monster\bonefetish\death4.wav|636|Single
amazon_coldarrow_1|skill\amazon\coldarrow1.wav|2233|Group:3
elzix_act2_intro_nec|act2\elzix\elz_act2_intro_nec.wav|3830|Single
lightninggenerator_death_4|none.wav|1246|Single
heavy_run_dirt_4|ambient\footstep\HeavyDirtRun4.wav|2843|Single
weapon_throw_1|combat\weapon\two hand swing small01.wav|259|Group:3
cain_act5_q4_after|Act5\Cain\cain_act5_q4_after.wav|4440|Single
spikefiend_attack_3|monster\spikefiend\attack3.wav|1856|Single
druid_act2_find_radament|act2\druid\dru_act2_entry_radamentlair.wav|3453|Single
druidwerewolf_bite_4|monster\werewolf\bite4.wav|869|Single
necromancer_curse_2|skill\necromancer\cursetarget2.wav|2466|Single
jerhyn_act2_gossip_7|act2\jerhyn\jer_act2_gossip_07.wav|4063|Single
putriddefiler_hit_1|monster\putriddefiler\gethit1.wav|1479|Group:6
barbarian_act3_find_drain|act3\barbarian\bar_act3_find_drainlever.wav|3076|Single
baaltentacle_attack_1|monster\baaltentacle\attack1.wav|492|Group:3
music_town_1|act1\town1.wav|4673|Single
vulturedemon_death_5|monster\vulturedemon\death5.wav|2089|Single
cain_act2_q3_early|act2\cain\cain_act2_q3_early.wav|3686|Single
greatermummy_hit_2|monster\greatermummy\gethit2.wav|1102|Single
creature_cow_2|ambient\creature\cow2.wav|2699|Single
event_harem_6|ambient\event\thump1.wav|115|Single
rogue_confirm_b_3|act1\rogue\rog_immediately2.wav|4296|Single
scimitar_hit_4|monster\scimitar\gethit4.wav|1712|Single
sorceress_act3_find_blackened|act3\sorceress\sor_act3_find_blackenedtemple.wav|3309|Single
deathmauler_spikes_1|monster\deathmauler\maulermissile1a.wav|725|Group:5
assassin_quickness|skill\assassin\quickness.wav|2322|Single
gheed_greeting_time_3|act1\gheed\ghe_goodevening.wav|3919|Single
minionsuicide_neutral_4|monster\minion\suicideneutral4.wav|1335|Single
druid_death_2|combat\player\druid\death1.wav|2932|Single
impact_arrow_2|combat\impact\arrow3.wav|348|Single
malah_act5_q6_early|Act5\Malah\mal_act5_q6_early.wav|4529|Single
tentaclehead_death_3|monster\tentaclehead\death3.wav|1945|Single
alkor_act3_intro|act3\alkor\alk_act3_intro.wav|3542|Single
fingermage_bolt_impact_1|monster\fingermage\zap1.wav|958|Group:4
object_diabloseal|object\diabloseal.wav|2555|Single
meshif_greeting_inactive_1|common\meshif\mes_myshipyourship.wav|4152|Group:2
reanimatedhorde_death_6|monster\reanimatedhorde\death6.wav|1568|Single
necromancer_act5_rescued_wussies|act5\necromancer\nec_act5_rescue_qualkehksoldiers.wav|3165|Single
beetle_death_1|monster\beetle\death1.wav|581|Group:4
zakarumpriest_cast_5|monster\zakarumpriest\cast5.wav|2178|Single
charsi_act1_q6_success|act1\charsi\cha_act1_q6_successful.wav|3775|Single
imp_neutral_2|monster\imp\neutral2.wav|1191|Single
medium_walk_wood_1|ambient\footstep\MedWood1.wav|2788|Group:4
event_thunder_3|ambient\event\thunder_norm_5.wav|204|Single
anya_greeting_return|Act5\Anya\any_whatareneeds.wav|4385|Single
skeleton_cast_poison|monster\skeleton\firemage.wav|1801|Single
assassin_act5_defeat_overseer|act5\assassin\ass_act5_complete_stopsiege.wav|3398|Single
druidspirit_hit_2|monster\oaksage\gethit2.wav|814|Single
sorceress_firebolt_2|skill\sorceress\firebolt2.wav|2411|Single
hratli_act3_gossip_sor|act3\hratli\hra_act3_gossip_sor.wav|4008|Single
overseer_whipcrack_5|monster\overseer\whipcrack5.wav|1424|Single
barbarian_chat_d_1|common\barbarian\bar_thanks.wav|3021|Group:2
monster_meteor_impact|skill\sorceress\meteorimpact.wav|437|Single
hire_male_cant_use_that_ever_3|common\hireables\male_icantusethat3.wav|4618|Single
vilechild_attack_4|monster\vilechild\attack4.wav|2034|Single
atma_act2_q1_early|act2\atma\atm_act2_q1_early.wav|3631|Single
golemblood_hit_4|monster\golemblood\gethit4.wav|1047|Single
object_well|object\fountain.wav|2644|Single
scene_jungle_night|ambient\scene\junglenight.wav|60|Single
natalya_act3_q5_after|act3\natalya\nat_act3_q5_after.wav|4241|Single
sandmaggotbaby_neutral_4|monster\sandmaggotbaby\neutral4.wav|1657|Single
sorceress_chat_c_2|common\sorceress\sor_thisisyours.wav|3254|Single
corrupt_attack_1|monster\corrupt\attack1.wav|670|Group:6
amazon_valkyrie_attack_1|skill\amazon\valkyrieattack1.wav|2267|Group:4
fara_act2_q1_after|act2\fara\far_act2_q1_after.wav|3864|Single
megademon_neutral_2|monster\megademon\neutral2.wav|1280|Single
walk_hoof_4|ambient\footstep\hoof4.wav|2877|Single
weapon_2ht_2|combat\weapon\two hand thrust02.wav|293|Single
larzuk_act5_q2_success|Act5\Larzuk\lar_act5_q2_successful.wav|4474|Single
succubus_msissile_1|monster\succubus\missile1.wav|1890|Group:3
akara_greeting_time_3|act1\akara\aka_goodevening.wav|3487|Single
fallen_death_4|monster\fallen\death4.wav|903|Single
barbarian_findheart_2|skill\barbarian\findheart2.wav|2500|Single
kashya_act1_q1_after|act1\kashya\kas_act1_q1_after.wav|4097|Single
pygmy_neutral_4|monster\pygmy\neutral5.wav|1513|Single
necromancer_impossible_2|common\necromancer\nec_icant.wav|3110|Single
barpatron_gesture|monster\barpatrons\barpatrongesture.wav|526|Single
wraith_attack_2|monster\wraith\attack2.wav|2123|Single
cain_act3_q5_success|act3\cain\cain_act3_q5_successful.wav|3720|Single
